LevelID,Status,Density,TimeMS
1,PERFECT,100%,77
2,FALLBACK,68%,746
3,PERFECT,100%,685
4,PERFECT,100%,52
5,PERFECT,100%,254
6,PERFECT,100%,106
7,FAIL,0%,8579
8,FALLBACK,83%,2352
9,PERFECT,100%,154
10,PERFECT,100%,50
11,PERFECT,100%,162
12,PERFECT,100%,155
13,PERFECT,100%,360
